,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-1,-1,-1,-1,-1,-1,97,138,139,180,181,222,223,264,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,59,96,98,137,140,179,182,221,224,263,265,302,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,58,60,95,99,136,141,178,183,220,225,262,266,301,303,-1,-1,-1,-1
3,-1,-1,-1,27,57,61,94,100,135,142,177,184,219,226,261,267,300,304,334,-1,-1,-1
4,-1,-1,26,28,56,62,93,101,134,143,176,185,218,227,260,268,299,305,333,335,-1,-1
5,-1,-1,25,29,55,63,92,102,133,144,175,186,217,228,259,269,298,306,332,336,-1,-1
6,-1,5,24,30,54,64,91,103,132,145,174,187,216,229,258,270,297,307,331,337,356,-1
7,-1,6,23,31,53,65,90,104,131,146,173,188,215,230,257,271,296,308,330,338,355,-1
8,4,7,22,32,52,66,89,105,130,147,172,189,214,231,256,272,295,309,329,339,354,357
9,3,8,21,33,51,67,88,106,129,148,171,190,213,232,255,273,294,310,328,340,353,358
10,2,9,20,34,50,68,87,107,128,149,170,191,212,233,254,274,293,311,327,341,352,359
11,1,10,19,35,49,69,86,108,127,150,169,192,211,234,253,275,292,312,326,342,351,360
12,0,11,18,36,48,70,85,109,126,151,168,193,210,235,252,276,291,313,325,343,350,361
13,-1,12,17,37,47,71,84,110,125,152,167,194,209,236,251,277,290,314,324,344,349,-1
14,-1,13,16,38,46,72,83,111,124,153,166,195,208,237,250,278,289,315,323,345,348,-1
15,-1,-1,15,39,45,73,82,112,123,154,165,196,207,238,249,279,288,316,322,346,-1,-1
16,-1,-1,14,40,44,74,81,113,122,155,164,197,206,239,248,280,287,317,321,347,-1,-1
17,-1,-1,-1,41,43,75,80,114,121,156,163,198,205,240,247,281,286,318,320,-1,-1,-1
18,-1,-1,-1,-1,42,76,79,115,120,157,162,199,204,241,246,282,285,319,-1,-1,-1,-1
19,-1,-1,-1,-1,-1,77,78,116,119,158,161,200,203,242,245,283,284,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,117,118,159,160,201,202,243,244,-1,-1,-1,-1,-1,-1,-1
